Abadan,"1) uzaq hám abadan ómir keshirsin dep qoyılǵan ism; 2) elimiz tınısh hám abadan bolsın dep qoyılǵan ism."
Abat,"1) uzaq hám abat ómir kórsin dep qoyılǵan ismler; 2) elimiz abat hám bay bolsın dep qoyılǵan ismler; 3) 2013-jıl — Abat turmıs jılı tuwılǵanı ushın qoyılǵan ismler."
Abatbay,"1) uzaq hám abat ómir kórsin dep qoyılǵan ismler; 2) elimiz abat hám bay bolsın dep qoyılǵan ismler; 3) 2013-jıl — Abat turmıs jılı tuwılǵanı ushın qoyılǵan ismler."
Abatbek,"ómiri uzaq bolsın, aman júrsin dep qoyılǵan ism."
Abatgúl,"1) ómiri abat bolsın, uzaq jasasın dep qoyılǵan ism; 2) ata-anası Abatjaptıń boyında jasaǵan, soǵan baylanıslı qoyılǵan ism."
Abatjan,"ómiri uzaq hám abat bolsın dep qoyılǵan ismler."
Abatniyaz,"ómiri uzaq hám abat bolsın dep qoyılǵan ismler."
Abbaz,"1) dáwjúrek, márt jigit bolsın dep qoyılǵan ism; 2) Qaraqalpaqstan xalıq shayırı, Ózbekstan xalıq jırshısı Abbaz Dabılovtay (1898 — 1970) ataqlı insan bolsın dep qoyılǵan ism; 3) qabaǵın úyip tuwılǵanı ushın qoyılǵan ism."
Avgusta,"avgustta tuwılǵanı ushın qoyılǵan ism."
Aǵabek,"adamlarǵa aǵalıq etip júrsin, abıraylı, húrmetli insan bolsın dep qoyılǵan ism."
Aǵzamatdin,"mártebeli, abıraylı insan bolsın dep qoyılǵan ism."
Ajarbiyke,"sulıw qız bolsın dep qoyılǵan ismler."
Ajargúl,"sulıw qız bolsın dep qoyılǵan ismler."
Ajarxan,"sulıw qız bolsın dep qoyılǵan ismler."
Azada,"kewili haq, ádepli, tazalıqlı hám gózzal qız bolsın dep qoyılǵan ismler."
Azadaxan,"kewili haq, ádepli, tazalıqlı hám gózzal qız bolsın dep qoyılǵan ismler."
Azamat,"1) márt hám batır jigit bolsın dep qoyılǵan ism; 2) el-xalıq ushın xızmet etetuǵın haqıyqıy jigit bolsın dep qoyılǵan ism; 3) úyimizdiń azamatı bolıp júrsin dep qoyılǵan ism."
Azat,"1) azat hám erkin adam bolıp júrsin dep qoyılǵan ism; 2) 9-May – Jeńis kúni bayramında tuwılǵanı ushın qoyılǵan ism; 3) 1991-jılı Ózbekstan Respublikası ǵárezsizlik alǵan jılı tuwılǵanı ushın qoyılǵan ism."
Azatbay,"1) erkin hám baxıtlı insan bolsın dep qoyılǵan ism; 2) ájaǵası tyurmadan tezirek qutılıp kelsin, azat bolsın dep qoyılǵan ism."
Azatbek,"1) azat hám erkin turmıs keshirsin dep qoyılǵan ism; 2) 1965-jılǵı xoleradan azat bolıp, saw-salamat tuwılǵanı ushın qoyılǵan ism."
Azatgúl,"erkin hám baxıtlı turmıs keshirsin dep qoyılǵan ism."
Azima,"aqısta (rus tilinde zima) tuwılǵanı ushın qoyılǵan ism."
Ayar,"ayday sulıw, shıraylı qız bolsın dep qoyılǵan ism."
Aybadan,"sulıw, sımbatlı qız bolsın dep qoyılǵan ism."
Aybazar,"bazar kúni tuwılǵanı ushın qoyılǵan ism."
Aybanu,"sulıw qız bolsın dep qoyılǵan ism."
Aybat,"ǵayratlı, aybatlı, márt hám batır jigit bolsın dep qoyılǵan ismler."
Aybatbay,"ǵayratlı, aybatlı, márt hám batır jigit bolsın dep qoyılǵan ismler."
Aybatbek,"ǵayratlı, aybatlı, márt hám batır jigit bolsın dep qoyılǵan ismler."
Aybáhár,"báhárde tuwılǵanı ushın qoyılǵan ism."
Aybek,"1) beklerdey sawlatlı, abıraylı, mártebeli insan bolsın dep qoyılǵan ism; 2) Ózbekstan xalıq jazıwshısı Aybektey (Musa Tashmuxammedov, 1905 — 1968) ataqlı insan bolsın dep qoyılǵan ism; 3) aylı túnde tuwılǵanı ushın qoyılǵan ism."
Aybergen,"1) «jaqsı, sulıw etip berdi» degen mánide qoyılǵan ism; 2) túnde ay shıqqan payıtta tuwılǵanı ushın qoyılǵan ism; 3) kóp qızdan keyin tuwılǵan balaǵa qoyılǵan ism."
Aybiybi,"sulıw qız bolsın dep qoyılǵan ism."
Aybiyke,"sulıw hám jaqsı úy biykesi bolsın dep qoyılǵan ism."
Aybosın,"sulıw jigit bolsın dep qoyılǵan ismler."
Aybolsın,"sulıw jigit bolsın dep qoyılǵan ismler."
Aygózzal,"ayday shıraylı qız bolsın dep qoyılǵan ism."
Aygúl,"1) ayday sáwleli, gúldey gózzal qız bolsın dep qoyılǵan ism; 2) Ózbekstan hám Qaraqalpaqstan xalıq jazıwshısı, shayır hám dramaturg Jolmırza Aymırzaevtıń (1910 — 1996) «Aygúl — Abat» pesasındaǵı Aygúldey qız bolsın dep qoyılǵan ism; 3) usı qızdan keyingisi ul bala bolsın, Abat bolsın dep qoyılǵan ism; 4) oraza ayında tuwılǵanı ushın qoyılǵan ism."
Aygúljan,"ayday sulıw hám janday áziyz qız bolsın dep qoyılǵan ism."
Aygúmis,"ayday shıraylı hám gúmistey qádirli, áziyz qız bolsın dep qoyılǵan ism."
Aydagúl,"ayday hám gúldey shıraylı qız bolsın dep qoyılǵan ism."
Ayday,"ayday sulıw, shıraylı qız bolsın dep qoyılǵan ismler."
Aydaygúl,"ayday sulıw, shıraylı qız bolsın dep qoyılǵan ismler."
Aydayxan,"ayday sulıw, shıraylı qız bolsın dep qoyılǵan ismler."
Aydana,"1) shıraylı hám aqıllı, dana qız bolsın dep qoyılǵan ism; 2) shańaraqta jalǵız (bir dana) qız bolǵanı ushın qoyılǵan ism."
Aydangúl,"1) aydan da jarıq hám sulıw qız bolsın dep qoyılǵan ism; 2) túnde ay shıǵıp turǵan payıtta tuwılǵanı ushın qoyılǵan ism."
Aydarbek,"«aydar qoyaman» dep atası niyet etip qoyǵan ism."
Aydáwlet,"shıraylı hám dáwletli qız bolsın dep qoyılǵan ism."
Aydos,"1) ata-anasına joldas, es bolıp júrsin dep qoyılǵan ism; 2) ómiri ayday jaqtı bolsın dep qoyılǵan ism; 3) aylı túnde tuwılǵanı ushın qoyılǵan ism; 4) Aydos biyge (1754 — 1827) uqsaǵan watan súygish, elge xızmet etetuǵın insan bolsın dep qoyılǵan ism; 5) dosları, joldasları kóp bolsın dep qoyılǵan ism; 6) aydıń dostı bolsın, kosmonavt bolsın dep qoyılǵan ism."
Aydosbay,"1) ata-anasına joldas, es bolıp júrsin dep qoyılǵan ismler; 2) Aydos biydey (1754 — 1827) eline, xalqına xızmet etetuǵın insan bolsın dep qoyılǵan ismler; 3) dosları, joldasları kóp bolsın dep qoyılǵan ismler."
Aydosbek,"1) ata-anasına joldas, es bolıp júrsin dep qoyılǵan ismler; 2) Aydos biydey (1754 — 1827) eline, xalqına xızmet etetuǵın insan bolsın dep qoyılǵan ismler; 3) dosları, joldasları kóp bolsın dep qoyılǵan ismler."
Aydosbiy,"Aydos biydey (1754 – 1827) elge, xalıqqa xızmet etetuǵın úlken adam bolsın dep qoyılǵan ism."
Aydınay,"1) túnde ay shıǵıp turǵan payıtta tuwılǵanı ushın qoyılǵan ismler; 2) keleshek ómiri ay sıyaqlı jarqın, nurlı bolsın dep qoyılǵan ismler; 3) jolı aydın, nurlı bolsın dep qoyılǵan ismler."
Aydıngúl,"1) túnde ay shıǵıp turǵan payıtta tuwılǵanı ushın qoyılǵan ismler; 2) keleshek ómiri ay sıyaqlı jarqın, nurlı bolsın dep qoyılǵan ismler; 3) jolı aydın, nurlı bolsın dep qoyılǵan ismler."
Aydınbay,"keleshegi aydın, jarqın bolsın dep qoyılǵan ismler."
Aydınbek,"keleshegi aydın, jarqın bolsın dep qoyılǵan ismler."
Ayjamal,"1) ay sıyaqlı júzi jarqırap júrsin, shıraylı, sımbatlı qız bolsın dep qoyılǵan ism; 2) aylı túnde tuwılǵanı ushın qoyılǵan ism."
Ayjan,"1) sulıw hám janday áziyz, qádirli qız bolsın dep qoyılǵan ismler; 2) aylı túnde tuwılǵanı ushın qoyılǵan ismler."
Ayjana,"1) sulıw hám janday áziyz, qádirli qız bolsın dep qoyılǵan ismler; 2) aylı túnde tuwılǵanı ushın qoyılǵan ismler."
Ayjarqın,"júzi ayday jarqın, sulıw qız bolsın dep qoyılǵan ism."
Ayjarıq,"túnde ay shıǵıp turǵan payıtta tuwılǵanı ushın qoyılǵan ism."
Ayjámiyla,"ayday shıraylı qız bolsın dep qoyılǵan ism."
Ayjáhán,"jáhánge belgili gózzal qız bolsın dep qoyılǵan ism."
Ayjuldız,"ay hám juldızlarday jarqırap júrsin dep qoyılǵan ism."
Ayzada,"1) shıraylı hám azada qız bolsın dep qoyılǵan ism; 2) aylı túnde tuwılǵanı ushın qoyılǵan ism; 3) mańlayında ayǵa uqsaǵan shandıǵı menen tuwılǵanı ushın qoyılǵan ism; 4) aydan da ziyada bolsın dep qoyılǵan ism."
Ayzere,"ayday sulıw, altınday (zerdey) qádirli hám mártebeli qız bolsın dep qoyılǵan ism."
Ayziyba,"shıraylı qız bolsın dep qoyılǵan ism."
Ayziyra,"1) ay shıqqan kúni tuwılǵanı ushın qoyılǵan ism; 2) shıraylı qız bolsın dep qoyılǵan ism."
Ayziya,"1) aydan da zıyat sulıw qız bolsın dep qoyılǵan ism; 2) zıyalı qız bolsın dep qoyılǵan ism."
Ayqumar,"qız balaǵa intizar, qumar bolıp júrgende tuwılǵan qızǵa qoyılǵan ism."
Ayquwat,"ata-anasınıń kúsh-quwatı bolıp júrsin dep qoyılǵan ism."
Ayqız,"ayday sulıw, shıraylı qız bolsın dep qoyılǵan ism."
Ayqımbat,"qádirli, qımbatlı, ardaqlı qız bolsın dep qoyılǵan ism."
Aylargúl,"ayları jetpey tuwılǵanı ushın qoyılǵan ism."
Ayluna,"ay (rus tilinde luna) shıqqan payıtta tuwılǵanı ushın qoyılǵan ism."
Ayman,"kewili taza, pák, aymanday qız bolsın dep qoyılǵan ismler."
Aymangúl,"kewili taza, pák, aymanday qız bolsın dep qoyılǵan ismler."
Aymaral,"maralday gózzal, shıraylı qız bolsın dep qoyılǵan ism."
Aymáliyka,"ayday shıraylı qız bolsın dep qoyılǵan ism."
Aymeken,"ayday sulıw, shıraylı qız bolsın dep qoyılǵan ism."
Aymereke,"1) aylı túnde tuwılǵanı ushın qoyılǵan ism; 2) úyinde toy bolǵan kúni tuwılǵanı ushın qoyılǵan ism."
Aymurat,"1) ayday jigit bolsın, keleshekte murat-maqsetine jetip júrsin dep qoyılǵan ism; 2) ómiri ay sıyaqlı jaqtı bolsın dep qoyılǵan ism; 3) aylı túnde tuwılǵanı ushın qoyılǵan ism; 4) 12-Aprel – kosmonavtlar kúni tuwılǵanı ushın qoyılǵan ism."
Aymırza,"1) mırzalıq etip júrsin, el basqarsın dep qoyılǵan ism; 2) Ózbekstan hám Qaraqalpaqstan xalıq jazıwshısı, shayır hám dramaturg Jolmırza Aymırzaevtay (1910 — 1996) belgili insan bolsın dep qoyılǵan ism."
Ayna,"1) aynaday jarqırap júrsin, shıraylı hám hadal, pák, taza qız bolsın dep qoyılǵan ismler; 2) túnde ay shıǵıp turǵan payıtta tuwılǵanı ushın qoyılǵan ismler."
Aynagúl,"1) aynaday jarqırap júrsin, shıraylı hám hadal, pák, taza qız bolsın dep qoyılǵan ismler; 2) túnde ay shıǵıp turǵan payıtta tuwılǵanı ushın qoyılǵan ismler."
Aynajamal,"1) aynaday jarqırap júrsin, shıraylı hám hadal, pák, taza qız bolsın dep qoyılǵan ismler; 2) túnde ay shıǵıp turǵan payıtta tuwılǵanı ushın qoyılǵan ismler."
Aynaxan,"1) aynaday jarqırap júrsin, shıraylı hám hadal, pák, taza qız bolsın dep qoyılǵan ismler; 2) túnde ay shıǵıp turǵan payıtta tuwılǵanı ushın qoyılǵan ismler."
Aynazar,"1) aydıń nurı túsip turǵan payıtta tuwılǵanı ushın qoyılǵan ism; 2) aydıń názeri jawsın dep qoyılǵan ism; 3) sulıw jigit bolsın dep qoyılǵan ism."
Ayniyaz,"aydıń nurı túsip turǵan payıtta tuwılǵanı ushın qoyılǵan ism."
Aynur,"1) aydıń nurınday júzi jarqın bolıp júrsin, shıraylı qız bolsın dep qoyılǵan ism; 2) aydıń nurı túsip turǵan payıtta tuwılǵanı ushın qoyılǵan ism; 3) svet óship qalıp, aydıń jaqtısında tuwılǵanı ushın qoyılǵan ism."
Aynura,"1) júzi aydıń nurınday jarqın bolıp júrsin, shıraylı qız bolsın dep qoyılǵan ism; 2) aydıń nurı túsip turǵan payıtta tuwılǵanı ushın qoyılǵan ism."
Aypara,"ay sıyaqlı sulıw hám ayrıqsha qız bolsın dep qoyılǵan ism."
Ayparsha,"1) ayday sulıw hám múlayım qız bolsın dep qoyılǵan ism; 2) aydıń nurı túsip turǵan waqıtta tuwılǵanı ushın qoyılǵan ism."
Ayparshın,"shıraylı qız bolsın dep qoyılǵan ism."
Aypatsha,"shıraylı, mártebeli, abıraylı hám qádirli qız bolsın dep qoyılǵan ismler."
Aypashsha,"shıraylı, mártebeli, abıraylı hám qádirli qız bolsın dep qoyılǵan ismler."
Ayperde,"perdeli bolıp tuwılǵanı ushın qoyılǵan ism."
Ayperi,"perilerdey sulıw qız bolsın dep qoyılǵan ism."
Aypolat,"polattay bekkem, mıqlı, qarıwlı hám shıdamlı jigit bolsın dep qoyılǵan ism."
Aysapar,"sapar ayında tuwılǵanı ushın qoyılǵan ism."
Aysara,"1) shıraylı qız bolsın, qızlardıń jaqsısı, aǵlası bolıp júrsin dep qoyılǵan ism; 2) aylı túnde tuwılǵanı ushın qoyılǵan ism; 3) sarı qız bolıp tuwılǵanı ushın qoyılǵan ism."
Aysánem,"1) ayday shıraylı qız bolsın dep qoyılǵan ism; 2) aylı túnde tuwılǵanı ushın qoyılǵan ism."
Aysáwle,"1) aydıń sáwlesi túsip turǵan payıtta tuwılǵanı ushın qoyılǵan ism; 2) júzi aydıń sáwlesindey jarqın, sulıw qız bolsın dep qoyılǵan ism; 3) ómiri aydıń sáwlesindey tınıq, baxıtlı bolsın dep qoyılǵan ism; 4) aydıń sáwlesindey nur shashıp júrsin dep qoyılǵan ism."
Aysen,"ayday sulıw qız bolsın dep qoyılǵan ism."
Aysultan,"1) usı qızdan keyingisi ul bala bolsın degen niyet penen qoyılǵan ism; 2) qızlardıń aǵlası, xanım bolıp júrsin dep qoyılǵan ism; 3) ayday shıraylı qız bolsın dep qoyılǵan ism."
Aysulıw,"1) shıraylı qız bolsın dep qoyılǵan ism; 2) aydıń nurı túsip turǵan payıtta tuwılǵanı ushın qoyılǵan ism."
Aytbay,"1) hayıt kúnleri tuwılǵanı ushın qoyılǵan ism; 2) ayteke urıwınıń balası bolǵanı ushın qoyılǵan ism."
Aytbek,"1) hayıt kúnleri tuwılǵanı ushın qoyılǵan ism; 2) aytqan sózin orınlata alatuǵın basshı bolsın dep qoyılǵan ism."
Aytbiyke,"hayıt kúnleri tuwılǵanı ushın qoyılǵan ismler."
Aytgúl,"hayıt kúnleri tuwılǵanı ushın qoyılǵan ismler."
Aytenbay,"hayıt kúnleri tuwılǵanı ushın qoyılǵan ism."
Aytjan,"hayıt kúnleri tuwılǵanı ushın qoyılǵan ism."
Aytilew,"ul balaǵa mútáj bolıp júrgende kórgen balaǵa qoyılǵan ism."
Aytilla,"ayday sulıw, altınday qádirli, áziyz qız bolsın dep qoyılǵan ism."
Aytmámbethayıt kúnleri tuwılǵanı ushın qoyılǵan ism.
Aytmurat,"hayıt kúnleri tuwılǵanı ushın qoyılǵan ism."
Aytnazar,"hayıt kúnleri tuwılǵanı ushın qoyılǵan ism."
Aytniyaz,"hayıt kúnleri tuwılǵanı ushın qoyılǵan ism."
Aytolǵan,"ay tolısıp turǵan kúni tuwılǵanı ushın qoyılǵan ism."
Aytóre,"tórelik etip júrsin, húrmetli, abıraylı insan bolsın dep qoyılǵan ism."
Aytumar,"ata-anasınıń tumarı bolıp júrsin dep qoyılǵan ism."
Aytuwar,"ay shıqqan payıtta tuwılǵanı ushın qoyılǵan ismler."
Aytuwǵan,"ay shıqqan payıtta tuwılǵanı ushın qoyılǵan ismler."
Aytımbet,"1) hayıt kúnleri tuwılǵanı ushın qoyılǵan ism; 2) aylı túnde tuwılǵanı ushın qoyılǵan ism."
Ayxan,"1) shıraylı qız bolsın dep qoyılǵan ismler; 2) aylı túnde tuwılǵanı ushın qoyılǵan ismler."
Ayxansha,"1) shıraylı qız bolsın dep qoyılǵan ismler; 2) aylı túnde tuwılǵanı ushın qoyılǵan ismler."
Ayxanım,"1) shıraylı qız bolsın dep qoyılǵan ismler; 2) aylı túnde tuwılǵanı ushın qoyılǵan ismler."
Aysha,"1) Muxammed payǵambardıń hayalınday mártebeli qız bolsın dep qoyılǵan ismler; 2) ayday sulıw qız bolsın dep qoyılǵan ismler."
Ayshabiybi,"1) Muxammed payǵambardıń hayalınday mártebeli qız bolsın dep qoyılǵan ismler; 2) ayday sulıw qız bolsın dep qoyılǵan ismler."
Ayshabiyke,"1) Muxammed payǵambardıń hayalınday mártebeli qız bolsın dep qoyılǵan ismler; 2) ayday sulıw qız bolsın dep qoyılǵan ismler."
