A dese ayaǵın: T dese tayaǵın kóteretuǵın,"Sawatsız, ańqaw."
Abıroyıń assın: mártebeń tassın,"Tilek, pátiya."
Adam bilmes: kóz ilmes,"Tań qalarlıq."
Aǵam barda: arqam tamda,"Súyeniw, iseniw, arqa súyew."
Ajdarhanı at etken: habjılandı qamshı etken,"Batır, jawınger."
Ay barıp: aman qayt,"Tilek, pátiya."
Ayranday atlap, qımızday pisiw,"Ózi biylep-tóslew."
Aytıspaytuǵın sırı, shertpeytuǵın tarı (bolmaw),"Sırlas, pikirles."
Ala tana arqaǵa, qara tana qublaǵa ketiw,"Pıtırap ketiw, hárkim hár jaqqa ketiw, búliniw, toz-tozı shıǵıw, wayran bolıw. \n **Sin:** Ulı urımǵa, qızı qırımǵa (ketiw)."
Aldı bar da, artı joq,"Tez ashıwlanıp, birden háwirinen túsiw, qaytımı tez."
Aldı Maqtımqulı, keyni sıptırıńqı,"Bası jaqsı, keyni jaman bolıw, buzılıw."
Aldı tolı mal menen, keyni tolı shań menen,"Barlıq sán-saltanatı menen."
Aldıńda aǵa, keynińde ini (joq, bar),"Ámengeri joq, arqa súyer tuwısqanı joq. \n **Var:** Aldında basshı, keyninde qosshı (joq, bar)."
Alısına xat jollap, jaqınına at jollaw,"Xabarın jetkeriw. \n **Var:** Alıstan at jollap, ya xat jollap."
Alısta júrse kisnesken, jaqında júrse tislesken,"Kelise almaytuǵın, basları pispeytuǵın."
Allanıń názerinde, baxıttıń bazarında (bolǵaysız),"Tilek, pátiya. \n **Var:** Baxıttıń bazarında, allanıń názerinde (bolǵaysız)."
Allatala jol berse: áwliyeler qol berse,"Jolí bolsa, kelisip ketse."
Alma pis, awzıma tús (dep otırıw),"Jalqaw, xosh jaqpas."
Almaytuǵın jawı, shıqpaytuǵın tawı (joq),"Batır, qolınan keliw."
Altı alasım (joq), bes beresim (joq),"Hesh bir qatnası joq, baylanısı, jaqınlıǵı joq."
Amanlıq joq, esenlik joq,"Hal-ahwal soraspay, birden, tosattan. \n **Var:** Amanlıq, esenlik joq; Sálem joq, álem joq."
Ana qulaǵınan kirip, mına qulaǵınan shıǵıw,"Aytılǵan gápti itibarsızlıq penen tıńlaw, dıqqat bólmew, esinde qalmaw. \n **Var:** Bir qulaǵınan kirip, bir qulaǵınan shıǵıw; Bir qulaǵınan kirip, ekinshi qulaǵınan shıǵıw."
Ańǵısın ańlap, tıńǵısın tıńlaw,"Anıǵına jetiw tıńlaw, jaqsılap túsinip alıw, sabır etiw. \n **Var:** Ańǵısın ańlamaw, tıńǵısın tıńlamaw."
Aq degeni alǵıs, qara degeni ǵarǵıs bolıw,"Aytqanı bolatuǵın."
Aq dese aq, qara dese qara (dew),"Tákabbir, óktem, qaytpas qara."
Aq juwıp, aq taraw,"Álpeshlew, ǵamxorlıq etiw, mehr beriw."
Aq juwıp, arıw kepinlew,"Jerlew."
Aq nayzanıń ushı menen, aq bilektiń kúshi menen,"Bar kúshim menen."
Aq shashlı, sarı tisli,"Ǵarrı adam, qartayǵan, jası úlken, kóp jasaǵan."
Aqılı altıǵa, oyı onǵa bóliniw,"Oylanıp-oylanıp bir sheshimge kele almaw. \n **Var:** aqılı altı bólek bolıw."
Aqılı hayran, kókiregi wayran,"Qattı qapa bolıp, jol taba almay qalıw."
Aqsaqtıń aqırına, soqırdıń sońına baǵıw,"Sabır etiw, shıdam beriw, aqırın oylaw, oylanıw. \n **Var:** soqırdıń sońına baǵıw; Áliptiń sońına baǵıw."
Aq túye, kók túye shoģıw,"Qıyınshılıqlar, mashqalalarǵa duwshar bola beriw."
Aqtı aqtay, qaranı qaraday,"Ótirik sóylemew, kórgenin aytıw."
Arın arlap, jırtısın jırtıw,"Qarasıw, bolısıw. \n **Var:** arın arlap, jırın jırlaw; arın arlap, muńın muńlaw; arın arlaw."
Arqası besikte, awzı emshekte emes,"Jas emes, esi pútin, ulǵayǵan. \n **Var:** arqası besikte emes."
